,CoinName,Algorithm,ProofType,TotalCoinsMined,TotalCoinSupply
COAL,BitCoal,CryptoNight,PoW,4500000,12500000
DAXX,DaxxCoin,Ethash,PoW,520891780,10000000000
MONK,Monkey Project,X11,PoS,4407252,21000000
ZANO,Zano,ProgPowZ,PoW/PoS,12321492.2170912,0
PEPS,PEPS Coin,Quark,PoW,57466256.7311696,75000000
NEET,Neetcoin,Scrypt,PoW/PoS,8113718.48996985,2100000000
NEXT,Next.exchange Token,SHA-256,PoS/PoW,120000000,120000000
KEC,KEYCO,Tribus,PoW,795447,18000000
ZCR,ZCore,Quark,PoS,6304574.25379286,18000000
AEVO,Always Evolving,Scrypt,PoW/PoS,23774503.495822,425000000
DXO,Dextro,SkunkHash v2 Raptor,PoS,2120320.97842494,25000000
GOSS,GOSSIP-Coin,Quark,PoS,32748780.2471063,0
PENG,PENG,X11,PoS,10219484359.2947,16000000000
X42,X42 Protocol,X13,PoS,19657600,42000000
BTL,Bitrolium,Equihash,PoW,71355477,70000000
WCC,Wincash Coin,SHA-256,PoW/PoS,4001161.93268501,20000000
LOKI,Loki,CryptoNight-Heavy,PoW,19153632,150000000
REL,Reliance,X11,PoS,7256580,62000000
XT3,Xt3ch,Scrypt,PoS,7630000.0154,44000000
MGD,MassGrid,Jump Consistent Hash,PoW,140264370.3422,168000000
LYNX,Lynx,Scrypt,HPoW,77872209812.8998,92000000000
POSQ,Poseidon Quark,Quark,PoS,2716264.95302831,650000000 
MUSE,Muse,DPoS,PoS,18194936,18081806 
TRVC,Trivechain,X16R,PoW/PoS,36923120.6205934,82546564
GIC,Giant,Quark,PoW/PoS,8319338.34796444,5151000
ABS,Absolute Coin,Lyra2REv2,PoW/PoS,16808575.4413708,52500000
VITAE,Vitae,Quark,PoS,21041872.4848414,100000000
RYO,Ryo,Cryptonight-GPU,PoW,4890897,88188888
EUNO,EUNO,X11,PoW/PoS,40023126.4419732,50000000
MMO,MMOCoin,Scrypt,PoS,110899137.181097,260000000
PAC,PAC Global,X11,PoS,536982074,100000000000
GIO,Graviocoin,Scrypt,PoW,1346729272.51696,2000000000
DEV,Deviant Coin,PoS,PoS,29312370.0956705,88000000
PAXEX,PAXEX,X11,PoS,4504639,100000000
HERB,HerbCoin,Quark,PoW/PoS,35312185.7437239,54000000
LANA,LanaCoin,SHA-256D,PoW/PoS,1844569874.33414,7506000000
QRL,Quantum Resistant Ledger,RandomX,PoW,72100164.5757807,105000000
GOLOS,Golos,DPoS,PoW,124518891,0
ARRR,Pirate Chain,Equihash,PoW,167279740.6166,200000000
NYC,NewYorkCoin,Scrypt,PoW,143726113887.998,0
CKB,Nervos Network,Eaglesong,PoW,13580978159,25200000000
KCASH,Kcash,SHA-512,Zero-Knowledge Proof,1000000000,1000000000
AAC,Acute Angle Cloud,ECC 256K1,DPOS,1000000000,1000000000
RHP,Rhypton Club,X11,PoW,2102950745.50876,2100000000
PURA,Pura,X11,PoW,175215859,350000000
MWC,MimbleWimbleCoin,C31,PoW,10634900.9069404,20000000
ADM,ADAMANT Messenger,DPoS,DPoS,105154446,200000000
XDNA,XDNA,HEX,PoW/PoS,7718799.51698725,21000000
DAPS,DAPS Coin,Dagger, PoW/PoS/PoA,12003644.7889438,70000000000
FAIR,FairCoin,Groestl,PoW/PoS,53193831,0
EMC,Emercoin,SHA-256,PoW/PoS,43059794.804778,1000000000
DDK,DDKoin,Ed25519,DPoS,10633029.4218627,45000000
BITG,BitGreen,Green Protocol,PoS,11655861,21000000
MEC,MegaCoin,Scrypt,PoW,39073171.2430997,42000000
GOST,SoulCoin,Scrypt,PoW/PoS,91478284,1400000000
XIN,Infinity Economics,SHA-256,PoS,8999999990,9000000000
XMR,Monero,CryptoNight-V7,PoW,17689786.5303418,0
XDN,DigitalNote ,BMW512 / Echo512,PoW/PoS,5078595704.15831,6999999982
XWC,WhiteCoin,Scrypt,PoW/PoS,252108379.19257,300000000
NXT,Nxt,PoS,PoS/LPoS,1000000000,1000000000
AION,Aion,"Equihash210,9",PoW/PoS,33098296530,0
VET,VeChain,VeChainThor Authority,Proof of Authority,55454734800,86712634466
LTC,Litecoin,Scrypt,PoW,65908545.4967574,84000000
DCR,Decred,BLAKE256,PoW/PoS,12003659.1448077,21000000
BTS,Bitshares,SHA-512,PoS,3600570502,3600570502
EOS,EOS,DPoS,DPoS,1020544523.0722,0
AMB,Ambrosus,Dagger,PoA,361477437.535701,0
BSV,Bitcoin SV,SHA-256,PoW,18516095.8319233,21000000
AUR,Aurora Coin,Scrypt,PoW/PoS,18829199.992959,16768584
XVG,Verge,Multiple,PoW,16357344543.3634,16555000000
ZEN,Horizen,Equihash,PoW,9940062.5,21000000
BCH,Bitcoin Cash,SHA-256,PoW,18517608.3967999,21000000
NAV,NavCoin,X13,PoW/PoS,69550638.9077109,0
NXS,Nexus,SHA3,PoW/nPoS,63657220,78000000
DGB,DigiByte,Multiple,PoW,13548855816.8546,21000000000
QTUM,QTUM,POS 3.0,PoS,100000000,100000000
ZEC,ZCash,Equihash,PoW,10036725,21000000
VTC,Vertcoin,Lyra2REv2,PoW,56518798.8166346,84000000
NANO,Nano,Blake2b,PoW,133248297,340282367
ONT,Ontology,VBFT,PoS,637351170,1000000000
LSK,Lisk,DPoS,DPoS,159918400,159918400
DASH,Dash,X11,PoW/PoS,9706837.77526483,22000000
ETC,Ethereum Classic,Ethash,PoW,121305168.075515,210000000
ARK,ARK,DPoS,DPoS,108202084,0
KMD,Komodo,Equihash,dPoW/PoW,118662091,200000000
STEEM,Steem,PoS,PoW,99692126,99692126
BTC,Bitcoin,SHA-256,PoW,18489487,21000000
ETH,Ethereum,Ethash,PoW,112517755.749,0
WAVES,Waves,Leased POS,LPoS,100000000,100000000
ADA,Cardano,Ouroboros,PoS,25927070538,45000000000
ICX,ICON Project,Loopchain,PoS,400228740,0
EXP,Expanse,Ethash,PoW,10495278,16906397
POT,PotCoin,Scrypt,PoW/PoS,224653662.9439,420000000
NLG,Gulden,Scrypt,PoW,415032420,1680000000
BCD,Bitcoin Diamond,X13,PoW/PoS,183534024.889807,210000000
NMC,Namecoin,SHA-256,PoW,14736400,21000000
EMC2,Einsteinium,Scrypt,PoW,220475608.499999,299792458
RDD,Reddcoin,Scrypt,PoW/PoS,29688742472.2295,0
SIB,SibCoin,X11GOST,PoW,17263355,24000000
BTG,Bitcoin Gold,Equihash,PoW,17202361.088994,21000000
GRS,Groestlcoin,Groestl,PoW,75887198.8873662,105000000
VIA,ViaCoin,Scrypt,PoW,23170622.8723606,23000000
SYS,SysCoin,SHA-256,PoW,595390796.721074,888000000
FTC,FeatherCoin,NeoScrypt,PoW,229554678.00773,336000000
IOC,IOCoin,X11,PoW/PoS,18395078.9743456,22000000
SMART,SmartCash,Keccak,PoW,2241009149.22257,5000000000
XZC,Zcoin,Lyra2Z,PoW,7626440.72207788,21400000
CLOAK,CloakCoin,X13,PoW/PoS,5495967.63028021,0
BCN,ByteCoin,CryptoNight,PoW,184066828814,184467440735
BURST,BurstCoin,Shabal256,PoC,1813033920,2158812800
SC,Siacoin,Blake2b,PoW,33098296530,0
POA,Poa Network,Proof-of-Authority,PoA,204479039,252460800
